102,2021081203070451,SADBL,59,49,80,544,43520.00
103,2021081203070450,GFCL,14,51,170,824,140080.00
104,2021081203070449,GFCL,53,51,130,824,107120.00
105,2021081203070448,BFC,6,1,85,565.1,48033.50
106,2021081203070447,PLIC,1,14,90,1037,93330.00
107,2021081203070446,PLIC,1,21,100,1036,103600.00
108,2021081203070445,PLIC,1,25,10,1036,10360.00
109,2021081203070444,HIDCL,48,42,47,498.9,23448.30
110,2021081203070443,FMDBL,42,22,24,1125,27000.00
111,2021081203070442,FMDBL,42,16,100,1125,112500.00
112,2021081203070441,FMDBL,42,45,50,1125,56250.00
113,2021081203070440,FMDBL,42,34,18,1125,20250.00
114,2021081203070439,FMDBL,42,41,200,1125,225000.00
115,2021081203070438,FMDBL,42,6,15,1125,16875.00
116,2021081204058058,BPCL,51,10,10,655,6550.00
117,2021081203070437,FMDBL,42,48,40,1125,45000.00
118,2021081203070436,FMDBL,42,1,250,1124,281000.00
119,2021081201025747,NMB,14,49,10,485.1,4851.00
120,2021081203070435,FMDBL,42,47,10,1124,11240.00
121,2021081203070434,FMDBL,42,16,300,1124,337200.00
122,2021081203070433,FMDBL,42,36,50,1123,56150.00
123,2021081203070432,FMDBL,42,58,300,1123,336900.00
124,2021081203070431,FMDBL,42,17,90,1122,100980.00
125,2021081203070430,FMDBL,42,22,100,1122,112200.00
126,2021081203070429,FMDBL,42,54,500,1121,560500.00
127,2021081203070428,FMDBL,42,26,100,1121,112100.00
128,2021081203070427,FMDBL,42,6,20,1121,22420.00
129,2021081203070426,FMDBL,42,1,250,1121,280250.00
130,2021081203070425,FMDBL,42,58,50,1120.1,56005.00
131,2021081203070424,FMDBL,42,41,83,1120,92960.00
132,2021081203070423,FMDBL,42,58,28,1120,31360.00
133,2021081203070422,FMDBL,42,58,10,1120,11200.00
134,2021081204058057,AKPL,45,4,10,689,6890.00
135,2021081203070421,FMDBL,42,22,1001,1120,1121120.00
136,2021081203070420,FMDBL,42,51,120,1120,134400.00
137,2021081203070419,FMDBL,42,35,250,1120,280000.00
138,2021081203070418,FMDBL,42,45,150,1120,168000.00
139,2021081203070417,FMDBL,42,17,1000,1120,1120000.00
140,2021081203070416,FMDBL,42,25,50,1120,56000.00
141,2021081203070415,FMDBL,42,58,34,1120,38080.00
142,2021081203070414,FMDBL,42,1,200,1120,224000.00
143,2021081203070413,FMDBL,42,57,130,1120,145600.00
144,2021081203070412,FMDBL,42,45,109,1120,122080.00
145,2021081203070411,FMDBL,42,38,300,1120,336000.00
146,2021081203070410,FMDBL,42,6,200,1120,224000.00
147,2021081203070409,FMDBL,42,45,500,1120,560000.00
148,2021081203070408,FMDBL,42,5,50,1120,56000.00
149,2021081203070407,FMDBL,42,38,150,1120,168000.00
150,2021081203070406,FMDBL,42,16,42,1119,46998.00
151,2021081203070405,FMDBL,42,25,1090,1118,1218620.00
152,2021081203070404,FMDBL,42,43,80,1118,89440.00
153,2021081203070403,FMDBL,42,32,50,1118,55900.00
154,2021081203070402,FMDBL,42,45,23,1118,25714.00
155,2021081203070401,FMDBL,42,48,100,1115,111500.00
156,2021081203070400,FMDBL,42,41,40,1115,44600.00
157,2021081203070399,FMDBL,42,51,32,1115,35680.00
158,2021081203070398,FMDBL,42,42,20,1115,22300.00
159,2021081203070397,FMDBL,42,47,128,1115,142720.00
160,2021081203070396,FMDBL,42,16,100,1115,111500.00
161,2021081203070395,FMDBL,42,42,25,1115,27875.00
162,2021081203070394,FMDBL,42,19,20,1115,22300.00
163,2021081203070393,FMDBL,42,39,100,1114,111400.00
164,2021081203070392,FMDBL,42,17,250,1114,278500.00
165,2021081203070391,FMDBL,42,54,40,1113,44520.00
166,2021081203070390,FMDBL,42,34,26,1113,28938.00
167,2021081203070389,FMDBL,42,50,200,1112,222400.00
168,2021081203070388,FMDBL,42,42,300,1110,333000.00
169,2021081203070387,FMDBL,42,22,10,1110,11100.00
170,2021081203070386,FMDBL,42,42,200,1110,222000.00
171,2021081203070385,FMDBL,42,49,65,1110,72150.00
172,2021081203070384,FMDBL,42,43,25,1110,27750.00
173,2021081203070383,FMDBL,42,28,202,1104,223008.00
174,2021081204058056,SHPC,28,56,100,625.2,62520.00
175,2021081204058055,RHPC,7,48,40,869,34760.00
176,2021081203070382,RLFL,50,6,10,675,6750.00
177,2021081203070381,SFCL,10,57,100,650,65000.00
178,2021081201025746,CCBL,10,42,500,291,145500.00
179,2021081204058054,NGPL,38,3,19,1350,25650.00
180,2021081204058053,NGPL,38,26,181,1350,244350.00
181,2021081204058048,UMHL,21,25,100,536,53600.00
182,2021081204058047,UIC,39,4,50,812,40600.00
183,2021081204058046,AHPC,4,42,159,630,100170.00
184,2021081204058045,AHPC,4,38,500,630,315000.00
185,2021081204058044,AHPC,4,59,120,630,75600.00
186,2021081204058043,AHPC,4,38,50,630,31500.00
187,2021081204058042,AHPC,4,43,350,630,220500.00
188,2021081204058041,AHPC,4,8,100,630,63000.00
189,2021081204058040,AHPC,4,37,350,630,220500.00
190,2021081204058039,AHPC,4,57,850,630,535500.00
191,2021081204058038,AHPC,4,32,2699,630,1700370.00
192,2021081204058037,AHPC,4,33,1000,630,630000.00
193,2021081204058036,AHPC,4,52,21,630,13230.00
194,2021081204058035,AHPC,4,43,451,630,284130.00
195,2021081204058034,AHPC,4,22,350,629.9,220465.00
196,2021081203070354,MNBBL,38,38,60,774,46440.00
197,2021081203070353,MNBBL,26,38,190,774,147060.00
198,2021081204058033,SFMF,39,43,5000,18.6,93000.00
199,2021081203070352,SAPDBL,38,38,70,500,35000.00
200,2021081203070351,SAPDBL,38,54,12,500,6000.00
